run_name,target_x,target_y,target_z,target_yaw,wind_enabled,mean_pos_error_m,std_pos_error_m,mean_yaw_error_rad,std_yaw_error_rad,settling_time_s,samples_eval
rl_neural_target_001,2.0,2.0,3.0,0.0,0,0.004312127580185373,0.0011076209565436224,1.2252868588653742e-07,3.3952755940946214e-07,6.099,500
rl_neural_target_002,-2.0,2.0,2.0,1.57,0,0.007467216534228057,0.0022740612716161137,1.641495649211677e-07,4.751445942299989e-07,5.719,500
rl_neural_target_003,-3.0,-2.0,2.0,3.14,0,0.012260944968522846,0.00397005264721339,1.0915995830700354e-06,3.740203121373459e-06,6.019,500
rl_neural_target_004,2.0,-2.5,2.0,4.71,0,0.007139916212212658,0.002176820309967685,1.5641440954539122e-07,4.6237404004913466e-07,5.759,500
rl_neural_target_005,2.5,-2.5,2.4,1.57,0,0.007394420293180099,0.002212521949636702,9.904776559732653e-08,3.0683397983409207e-07,5.799,500
rl_neural_target_006,-3.0,-3.0,3.0,3.14,0,0.011604364836347508,0.0036987653533747385,1.957220272141402e-05,7.718186706951113e-05,6.099,500
rl_neural_target_007,2.5,2.5,2.5,2.5,0,0.009897072693150972,0.003159488296999332,3.192656791615178e-07,9.995902842345473e-07,5.939,500
rl_neural_target_008,4.0,4.0,4.0,1.57,0,0.008457137335390595,0.00201113562372495,9.092230624066256e-05,0.000217798284585168,6.199,500
rl_neural_target_009,-4.0,-4.0,4.0,2.5,0,0.010062551345092456,0.0030031005947098208,1.084969378652545e-06,3.9645480584832615e-06,6.319,500
rl_neural_target_010,4.0,-4.0,2.5,1.57,0,0.008568464243400438,0.0022042309334107638,6.388893868450652e-05,0.00019078622675490966,5.759,500
rl_neural_target_011,3.0,-3.0,4.0,3.0,0,0.010776796374623674,0.003440748548569749,1.6767784268525432e-06,7.031233025293083e-06,6.019,500
rl_neural_target_012,-4.0,3.0,3.0,2.5,0,0.009688251499646309,0.002988706039046799,1.7850183128231835e-07,4.818961411860385e-07,6.079,500
rl_neural_target_013,-3.0,3.0,2.5,1.75,0,0.008202459280501763,0.0024500411082715515,1.0723701712356259e-07,3.2842461558226436e-07,5.859,500
rl_neural_target_014,-2.5,-2.5,4.0,1.35,0,0.007280524340604149,0.0020813830163519784,1.321271373120325e-07,4.16470715385887e-07,5.779,500
rl_neural_target_015,-3.5,-3.5,3.0,2.7,0,0.008954913175488457,0.0028758582541779454,4.23093600108615e-07,1.178821180928163e-06,6.179,500
rl_neural_target_016,2.7,-3.0,2.0,1.5,0,0.007288271539001426,0.002152603218395108,1.4863550481569732e-07,4.6608775902377927e-07,5.899,500
rl_neural_target_017,-0.5,-0.5,2.0,3.14,0,0.006341512427509942,0.002130933698389014,1.4392459508627553e-08,2.821790490358172e-08,4.199,500
rl_neural_target_018,-3.5,0.5,3.0,1.5,0,0.007988375368838242,0.0023337649476924127,1.8230046012623902e-07,5.602780355455675e-07,5.759,500
rl_neural_target_019,-3.5,-0.5,3.0,1.7,0,0.00862185706018881,0.002568032092737489,1.4070495026841102e-07,3.9533519346050706e-07,5.159,500
rl_neural_target_020,-4.0,-1.0,4.0,1.5,0,0.008637716149695681,0.0024702174333767943,1.6359539548105318e-07,4.830295963777272e-07,5.299,500
rl_neural_target_021,-4.0,-0.5,2.0,2.5,0,0.010309895543206991,0.00317097619853958,5.0484848020813544e-05,0.00017831295986369623,5.9590000000000005,500
rl_neural_target_022,-2.0,-2.0,3.0,1.5,0,0.0068858439197239125,0.0020721742138991935,7.389643400212975e-08,2.1481490223858845e-07,5.659,500
rl_neural_target_023,-3.0,1.0,4.0,1.4,0,0.007620238373174695,0.0022784432140576347,7.973936054783692e-08,2.477203921647485e-07,5.719,500
rl_neural_target_024,2.0,-3.0,3.0,1.5,0,0.008272803726836614,0.0024047685367918274,1.1400788955162611e-07,3.5196533028649973e-07,5.819,500
